,US Dollar Index
2016-05-29 00:00:00+00:00,112.0822
2016-06-05 00:00:00+00:00,111.4451
2016-06-12 00:00:00+00:00,111.1027
2016-06-19 00:00:00+00:00,111.5332
2016-06-26 00:00:00+00:00,112.1355
2016-07-03 00:00:00+00:00,111.6509
2016-07-10 00:00:00+00:00,112.3963
2016-07-17 00:00:00+00:00,112.2833
2016-07-24 00:00:00+00:00,112.989
2016-07-31 00:00:00+00:00,111.874
2016-08-07 00:00:00+00:00,112.3589
2016-08-14 00:00:00+00:00,111.1787
2016-08-21 00:00:00+00:00,110.8163
2016-08-28 00:00:00+00:00,111.2035
2016-09-04 00:00:00+00:00,112.0009
2016-09-11 00:00:00+00:00,111.9879
2016-09-18 00:00:00+00:00,113.1765
2016-09-25 00:00:00+00:00,112.7166
2016-10-02 00:00:00+00:00,112.2795
2016-10-09 00:00:00+00:00,113.2915
2016-10-16 00:00:00+00:00,113.7119
2016-10-23 00:00:00+00:00,113.9015
2016-10-30 00:00:00+00:00,114.0931
2016-11-06 00:00:00+00:00,113.5828
2016-11-13 00:00:00+00:00,115.9375
2016-11-20 00:00:00+00:00,117.5936
2016-11-27 00:00:00+00:00,118.02
2016-12-04 00:00:00+00:00,117.3116
2016-12-11 00:00:00+00:00,117.2834
2016-12-18 00:00:00+00:00,118.3584
2016-12-25 00:00:00+00:00,118.7856
2017-01-01 00:00:00+00:00,118.3466
2017-01-08 00:00:00+00:00,118.3493
2017-01-15 00:00:00+00:00,117.9884
2017-01-22 00:00:00+00:00,118.3189
2017-01-29 00:00:00+00:00,117.074
2017-02-05 00:00:00+00:00,115.6262
2017-02-12 00:00:00+00:00,116.1479
2017-02-19 00:00:00+00:00,116.4033
2017-02-26 00:00:00+00:00,115.8138
2017-03-05 00:00:00+00:00,116.6429
2017-03-12 00:00:00+00:00,116.6154
2017-03-19 00:00:00+00:00,115.278
2017-03-26 00:00:00+00:00,114.6371
2017-04-02 00:00:00+00:00,114.7934
2017-04-09 00:00:00+00:00,115.0537
2017-04-16 00:00:00+00:00,114.536
2017-04-23 00:00:00+00:00,114.8133
2017-04-30 00:00:00+00:00,114.7892
2017-05-07 00:00:00+00:00,114.7743
2017-05-14 00:00:00+00:00,114.749
2017-05-21 00:00:00+00:00,113.7023
2017-05-28 00:00:00+00:00,113.4851
2017-06-04 00:00:00+00:00,113.1926
2017-06-11 00:00:00+00:00,112.9572
2017-06-18 00:00:00+00:00,112.6162
2017-06-25 00:00:00+00:00,112.8673
2017-07-02 00:00:00+00:00,111.9911
2017-07-09 00:00:00+00:00,112.3148
2017-07-16 00:00:00+00:00,110.9084
2017-07-23 00:00:00+00:00,110.1921
2017-07-30 00:00:00+00:00,109.9215
2017-08-06 00:00:00+00:00,110.2825
2017-08-13 00:00:00+00:00,110.044
2017-08-20 00:00:00+00:00,110.0421
2017-08-27 00:00:00+00:00,109.3427
2017-09-03 00:00:00+00:00,109.0514
2017-09-10 00:00:00+00:00,107.8093
2017-09-17 00:00:00+00:00,108.3166
2017-09-24 00:00:00+00:00,108.7563
2017-10-01 00:00:00+00:00,110.0889
2017-10-08 00:00:00+00:00,110.7857
2017-10-15 00:00:00+00:00,110.2692
2017-10-22 00:00:00+00:00,111.0397
2017-10-29 00:00:00+00:00,112.1516
2017-11-05 00:00:00+00:00,111.9402
2017-11-12 00:00:00+00:00,111.5646
2017-11-19 00:00:00+00:00,111.0041
2017-11-26 00:00:00+00:00,110.0278
2017-12-03 00:00:00+00:00,110.1441
2017-12-10 00:00:00+00:00,111.2297
2017-12-17 00:00:00+00:00,111.1312
2017-12-24 00:00:00+00:00,111.1027
2017-12-31 00:00:00+00:00,110.0817
2018-01-07 00:00:00+00:00,109.3529
2018-01-14 00:00:00+00:00,108.9044
2018-01-21 00:00:00+00:00,107.9487
2018-01-28 00:00:00+00:00,106.6942
2018-02-04 00:00:00+00:00,107.1187
2018-02-11 00:00:00+00:00,108.2612
2018-02-18 00:00:00+00:00,107.0392
2018-02-25 00:00:00+00:00,107.6835
2018-03-04 00:00:00+00:00,108.539
2018-03-11 00:00:00+00:00,107.9264
